Hidden Layer Sizes,Activation Function,Learning Rate,Batch Size,Number of Epochs,Accuracy (Train),Accuracy (Test),Training Time,dataset
[2],tanh,0.001,32,20,0.3735632300376892,0.3720930218696594,0.30597496032714844,cong_voting
[2],tanh,0.001,64,10,0.36781609058380127,0.3720930218696594,0.10418200492858887,cong_voting
[2],tanh,0.001,64,15,0.3735632300376892,0.3720930218696594,0.14452695846557617,cong_voting
[2],tanh,0.001,64,20,0.3735632300376892,0.3720930218696594,0.2218937873840332,cong_voting
[2],tanh,0.001,128,10,0.36781609058380127,0.3720930218696594,0.09444594383239746,cong_voting
[2],tanh,0.001,128,15,0.36781609058380127,0.3720930218696594,0.12332487106323242,cong_voting
[2],tanh,0.001,128,20,0.36781609058380127,0.3720930218696594,0.15681171417236328,cong_voting
[2],tanh,0.0001,32,10,0.36781609058380127,0.3720930218696594,0.16020798683166504,cong_voting
[2],tanh,0.0001,32,15,0.36781609058380127,0.3720930218696594,0.19596409797668457,cong_voting
[2],tanh,0.0001,32,20,0.36781609058380127,0.3720930218696594,0.3207559585571289,cong_voting
[2],tanh,0.0001,64,10,0.36781609058380127,0.3720930218696594,0.09259986877441406,cong_voting
[2],tanh,0.0001,64,15,0.36781609058380127,0.3720930218696594,0.36693882942199707,cong_voting
[2],tanh,0.0001,64,20,0.36781609058380127,0.3720930218696594,0.19317102432250977,cong_voting
[2],tanh,0.0001,128,10,0.36781609058380127,0.3720930218696594,0.2012779712677002,cong_voting
[2],tanh,0.0001,128,15,0.36781609058380127,0.3720930218696594,0.12542009353637695,cong_voting
[2],tanh,0.0001,128,20,0.36781609058380127,0.3720930218696594,0.17322587966918945,cong_voting
[2],relu,0.01,32,10,0.6494252681732178,0.6279069781303406,0.12822604179382324,cong_voting
[2],relu,0.01,32,15,0.6551724076271057,0.6511628031730652,0.15937519073486328,cong_voting
[2],relu,0.01,32,20,0.6609195470809937,0.6976743936538696,0.24425125122070312,cong_voting
[2],relu,0.01,64,10,0.6379310488700867,0.6511628031730652,0.11352300643920898,cong_voting
[2],relu,0.01,64,15,0.6379310488700867,0.6279069781303406,0.11811494827270508,cong_voting
[2],relu,0.01,64,20,0.6494252681732178,0.6279069781303406,0.13479089736938477,cong_voting
[2],relu,0.01,128,10,0.6321839094161987,0.6511628031730652,0.05485105514526367,cong_voting
[2],relu,0.01,128,15,0.6321839094161987,0.6511628031730652,0.0821678638458252,cong_voting
[2],relu,0.01,128,20,0.6379310488700867,0.6511628031730652,0.10272622108459473,cong_voting
[2],relu,0.001,32,10,0.6379310488700867,0.6511628031730652,0.11178183555603027,cong_voting
[2],relu,0.001,32,15,0.6379310488700867,0.6511628031730652,0.2586240768432617,cong_voting
[2],relu,0.001,32,20,0.6436781883239746,0.6511628031730652,0.355114221572876,cong_voting
[2],relu,0.001,64,10,0.6379310488700867,0.6511628031730652,0.29173707962036133,cong_voting
[2],relu,0.001,64,15,0.6379310488700867,0.6511628031730652,0.268064022064209,cong_voting
[2],relu,0.001,64,20,0.6379310488700867,0.6511628031730652,0.24286580085754395,cong_voting
[2],relu,0.001,128,10,0.6379310488700867,0.6744186282157898,0.18421196937561035,cong_voting
[2],relu,0.001,128,15,0.6379310488700867,0.6511628031730652,0.1839597225189209,cong_voting
[2],relu,0.001,128,20,0.6379310488700867,0.6511628031730652,0.19075298309326172,cong_voting
[2],relu,0.0001,32,10,0.6781609058380127,0.6744186282157898,0.12511229515075684,cong_voting
[2],relu,0.0001,32,15,0.6781609058380127,0.6744186282157898,0.21474099159240723,cong_voting
[2],relu,0.0001,32,20,0.6724137663841248,0.6976743936538696,0.3955509662628174,cong_voting
[2],relu,0.0001,64,10,0.6954023241996765,0.6744186282157898,0.14117217063903809,cong_voting
[2],relu,0.0001,64,15,0.6839080452919006,0.6744186282157898,0.20560622215270996,cong_voting
[2],relu,0.0001,64,20,0.6781609058380127,0.6744186282157898,0.22432589530944824,cong_voting
[2],relu,0.0001,128,10,0.6954023241996765,0.6744186282157898,0.10711336135864258,cong_voting
[2],relu,0.0001,128,15,0.6954023241996765,0.6744186282157898,0.12947893142700195,cong_voting
[2],relu,0.0001,128,20,0.6839080452919006,0.6744186282157898,0.2737400531768799,cong_voting
[2],sigmoid,0.01,32,10,0.6724137663841248,0.6976743936538696,0.2737159729003906,cong_voting
[2],sigmoid,0.01,32,15,0.4195402264595032,0.41860464215278625,0.2503092288970947,cong_voting
[2],sigmoid,0.01,32,20,0.3965517282485962,0.3720930218696594,0.3489060401916504,cong_voting
[2],sigmoid,0.01,64,10,0.6896551847457886,0.6279069781303406,0.10103511810302734,cong_voting
[2],sigmoid,0.01,64,15,0.6034482717514038,0.5116279125213623,0.1473391056060791,cong_voting
[2],sigmoid,0.01,64,20,0.7413793206214905,0.6976743936538696,0.20809316635131836,cong_voting
